PERMNO,date,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,NUMTRD
84398,2004-12-22,120.05000,121.08000,120.68000,31507900,0.002409,120.89000,120.90000,
84398,2004-12-23,120.09000,121.28000,120.77000,25647700,0.000746,120.99000,121.00000,
84398,2004-12-27,120.39000,121.36000,120.52000,29984300,-0.002070,120.42000,120.44000,
84398,2004-12-28,120.60000,121.33000,121.18000,23429300,0.005476,121.24000,121.25000,
84398,2004-12-29,120.95000,121.40000,121.36000,23770200,0.001485,121.28000,121.29000,
84398,2004-12-30,121.04000,121.57000,121.13000,21079700,-0.001895,121.24000,121.25000,
84398,2004-12-31,120.80000,121.66000,120.87000,28655600,-0.002146,121.03000,121.04000,
84398,2005-01-03,119.90000,121.76000,120.30000,55997600,-0.004716,120.06000,120.06000,
84398,2005-01-04,118.44000,120.54000,118.73000,69258900,-0.013051,118.72000,118.74000,
84398,2005-01-05,118.00000,119.25000,118.01000,65871700,-0.006064,118.31000,118.32000,
84398,2005-01-06,118.26000,119.15000,118.61000,48281800,0.005084,118.70000,118.71000,
84398,2005-01-07,118.13000,119.23000,118.44000,55853600,-0.001433,118.57000,118.58000,
84398,2005-01-10,118.34000,119.46000,119.00000,56796500,0.004728,118.93000,118.94000,
84398,2005-01-11,117.99000,118.74000,118.18000,63353400,-0.006891,118.28000,118.29000,
84398,2005-01-12,117.52000,118.84000,118.57000,74303400,0.003300,118.80000,118.80000,
84398,2005-01-13,117.50000,118.73000,117.62000,55780000,-0.008012,117.68000,117.69000,
84398,2005-01-14,117.76000,118.53000,118.24000,42033600,0.005271,118.41000,118.41000,
84398,2005-01-18,117.95000,119.62000,119.47000,57437000,0.010403,119.54000,119.55000,
84398,2005-01-19,118.21000,119.52000,118.22000,54907800,-0.010463,118.40000,118.39000,
84398,2005-01-20,117.29000,118.20000,117.50000,72090000,-0.006090,117.55000,117.56000,
84398,2005-01-21,116.65000,118.00000,116.78000,63274700,-0.006128,116.82000,116.77000,
84398,2005-01-24,116.37000,117.34000,116.55000,58554800,-0.001969,116.42000,116.43000,
84398,2005-01-25,116.72000,117.47000,116.88000,68335300,0.002831,116.86000,116.87000,
84398,2005-01-26,117.04000,117.60000,117.23000,57442900,0.002995,117.40000,117.41000,
84398,2005-01-27,116.98000,117.75000,117.43000,56600500,0.001706,117.46000,117.46000,
84398,2005-01-28,116.61000,117.55000,117.43000,60814100,0.000000,117.10000,117.11000,
84398,2005-01-31,117.71000,118.25000,118.16000,54141300,0.006216,118.07000,118.08000,
84398,2005-02-01,118.10000,119.08000,118.91000,52014000,0.006347,118.91000,118.92000,
84398,2005-02-02,118.90000,119.59000,119.27000,52606300,0.003027,119.34000,119.35000,
84398,2005-02-03,118.57000,119.16000,118.96000,49143100,-0.002599,119.05000,118.79000,
84398,2005-02-04,118.98000,120.43000,120.23000,50015000,0.010676,120.32000,120.33000,
84398,2005-02-07,119.96000,120.52000,120.07000,46212800,-0.001331,120.23000,120.25000,
84398,2005-02-08,120.07000,120.65000,120.21000,39454800,0.001166,120.34000,120.33000,
84398,2005-02-09,119.25000,120.49000,119.31000,55382900,-0.007487,119.29000,119.30000,
84398,2005-02-10,119.26000,120.02000,119.74000,46020600,0.003604,119.83000,119.84000,
84398,2005-02-11,119.46000,121.04000,120.77000,53271100,0.008602,120.71000,120.71000,
84398,2005-02-14,120.48000,120.86000,120.68000,32548900,-0.000745,120.77000,120.78000,
84398,2005-02-15,120.68000,121.43000,121.13000,44440100,0.003729,121.19000,121.18000,
84398,2005-02-16,120.67000,121.46000,121.21000,51789000,0.000660,121.19000,121.20000,
84398,2005-02-17,120.22000,121.23000,120.23000,58153800,-0.008085,120.29000,120.28000,
84398,2005-02-18,119.90000,120.48000,120.39000,49544200,0.001331,120.34000,120.34000,
84398,2005-02-22,118.58000,120.47000,118.60000,80842200,-0.014868,118.66000,118.59000,
84398,2005-02-23,118.62470,119.57000,119.45000,68308700,0.007167,119.33000,119.34000,
84398,2005-02-24,118.98000,120.32000,120.24000,69306400,0.006614,120.26000,120.26000,
84398,2005-02-25,120.18000,121.67000,121.43000,61173400,0.009897,121.37000,121.38000,
84398,2005-02-28,120.04000,121.30000,120.63000,69426700,-0.006588,120.54000,120.55000,
84398,2005-03-01,120.78000,121.52000,121.23000,47569300,0.004974,121.32000,121.30000,
84398,2005-03-02,120.65000,121.93000,121.17000,64233300,-0.000495,121.29000,121.29000,
84398,2005-03-03,120.70000,121.90000,121.22000,62098600,0.000413,121.35000,121.34000,
84398,2005-03-04,121.79000,122.83000,122.73000,56172600,0.012457,122.55000,122.56000,
84398,2005-03-07,122.59000,123.25000,122.79000,43808200,0.000489,122.80000,122.79000,
84398,2005-03-08,122.11000,123.00000,122.33000,44665800,-0.003746,122.21000,122.22000,
84398,2005-03-09,120.96000,122.29000,120.97000,73601400,-0.011117,121.03000,121.02000,
84398,2005-03-10,120.40000,121.50000,121.24000,65303400,0.002232,121.19000,121.20000,
84398,2005-03-11,120.16000,121.72000,120.39000,58132700,-0.007011,120.39000,120.40000,
84398,2005-03-14,120.28000,121.16000,121.14000,36338700,0.006230,121.05000,121.05000,
84398,2005-03-15,120.08000,121.46000,120.14000,62465800,-0.008255,120.17000,120.18000,
84398,2005-03-16,118.90000,119.87500,119.12000,76723900,-0.008490,119.16000,119.16000,
